 time            time            v(gate_rc)      id             
 3.80189049e-12  3.80189049e-12  4.03143377e-01  2.61251760e-04 
 3.85332118e-12  3.85332118e-12  4.06887155e-01  2.94677438e-04 
 3.90779954e-12  3.90779954e-12  4.10797465e-01  3.30911102e-04 
 3.96167583e-12  3.96167583e-12  4.14610376e-01  3.67537283e-04 
 4.01727560e-12  4.01727560e-12  4.18490781e-01  4.06113800e-04 
 4.07347080e-12  4.07347080e-12  4.22358679e-01  4.45859294e-04 
 4.13154348e-12  4.13154348e-12  4.26301075e-01  4.87680881e-04 
 4.19123196e-12  4.19123196e-12  4.30297758e-01  5.31406840e-04 
 4.25327459e-12  4.25327459e-12  4.34395337e-01  5.77598294e-04 
 4.31783701e-12  4.31783701e-12  4.38600963e-01  6.26409091e-04 
 4.38553931e-12  4.38553931e-12  4.42950485e-01  6.78344568e-04 
 4.45682774e-12  4.45682774e-12  4.47466917e-01  7.33792187e-04 
 4.53242275e-12  4.53242275e-12  4.52189034e-01  7.93364658e-04 
 4.61308687e-12  4.61308687e-12  4.57155976e-01  8.57723505e-04 
 4.69828357e-12  4.69828357e-12  4.62326265e-01  9.26487381e-04 
 4.78468085e-12  4.78468085e-12  4.67494639e-01  9.96945696e-04 
 4.87446645e-12  4.87446645e-12  4.72790567e-01  1.07083498e-03 
 4.96539148e-12  4.96539148e-12  4.78080024e-01  1.14625020e-03 
 5.05945539e-12  5.05945539e-12  4.83478268e-01  1.22478437e-03 
 5.15499658e-12  5.15499658e-12  4.88888387e-01  1.30498223e-03 
 5.25347479e-12  5.25347479e-12  4.94391677e-01  1.38799217e-03 
 5.35360526e-12  5.35360526e-12  4.99914683e-01  1.47265048e-03 
 5.45642870e-12  5.45642870e-12  5.05513348e-01  1.55974960e-03 
 5.56096434e-12  5.56096434e-12  5.11132641e-01  1.64836822e-03 
 5.66795765e-12  5.66795765e-12  5.16811177e-01  1.73904415e-03 
 5.77666954e-12  5.77666954e-12  5.22508170e-01  1.83105552e-03 
 5.88763471e-12  5.88763471e-12  5.28250216e-01  1.92475858e-03 
 6.00030089e-12  6.00030089e-12  5.34007253e-01  2.01959119e-03 
 6.11505205e-12  6.11505205e-12  5.39797524e-01  2.11578219e-03 
 6.23147914e-12  6.23147914e-12  5.45598979e-01  2.21289641e-03 
 6.34985923e-12  6.34985923e-12  5.51424097e-01  2.31107558e-03 
 6.46989244e-12  6.46989244e-12  5.57256785e-01  2.40998477e-03 
 6.59178044e-12  6.59178044e-12  5.63105565e-01  2.50970769e-03 
 6.71530595e-12  6.71530595e-12  5.68958734e-01  2.60998778e-03 
