 v-sweep         v(drain_iv)     v(gate_iv)      id              is              ib              ig              kcl            
 1.00000000e+00  1.00000000e+00  9.00000000e-01 -6.63366222e-03  6.63367434e-03  1.97543440e-08 -3.18717711e-08  6.85709567e-19 
 1.05000000e+00  1.05000000e+00  9.00000000e-01 -6.76994538e-03  6.76995757e-03  2.10293596e-08 -3.32192416e-08  5.30987088e-19 
 1.10000000e+00  1.10000000e+00  9.00000000e-01 -6.90698459e-03  6.90699685e-03  2.23795199e-08 -3.46354281e-08  7.25801357e-20 
 1.15000000e+00  1.15000000e+00  9.00000000e-01 -7.04506585e-03  7.04507816e-03  2.38086666e-08 -3.61219125e-08  4.09816708e-18 
 1.20000000e+00  1.20000000e+00  9.00000000e-01 -7.18456069e-03  7.18457305e-03  2.53207913e-08 -3.76799513e-08  8.83395807e-19 
 0.00000000e+00  0.00000000e+00  1.00000000e+00  1.24001146e-08  1.24001170e-08  1.90167320e-08 -4.38169636e-08  1.36637002e-19 
 5.00000000e-02  5.00000000e-02  1.00000000e+00 -9.24369870e-04  9.24393449e-04  2.02707097e-08 -4.38495279e-08  1.31427088e-18 
 1.00000000e-01  1.00000000e-01  1.00000000e+00 -1.77275493e-03  1.77277745e-03  2.16007013e-08 -4.41159915e-08  3.98370183e-20 
 1.50000000e-01  1.50000000e-01  1.00000000e+00 -2.54711205e-03  2.54713368e-03  2.30107521e-08 -4.46358772e-08  1.86733045e-18 
 2.00000000e-01  2.00000000e-01  1.00000000e+00 -3.24917968e-03  3.24920056e-03  2.45050754e-08 -4.53826413e-08  1.74050712e-18 
 2.50000000e-01  2.50000000e-01  1.00000000e+00 -3.88037816e-03  3.88039841e-03  2.60880596e-08 -4.63386792e-08  6.26622401e-19 
 3.00000000e-01  3.00000000e-01  1.00000000e+00 -4.44165912e-03  4.44167885e-03  2.77642758e-08 -4.74918016e-08  3.42684384e-18 
 3.50000000e-01  3.50000000e-01  1.00000000e+00 -4.93328794e-03  4.93330724e-03  2.95384881e-08 -4.88349247e-08  4.37287376e-19 
 4.00000000e-01  4.00000000e-01  1.00000000e+00 -5.35474235e-03  5.35476130e-03  3.14156675e-08 -5.03666402e-08  8.96068214e-19 
 4.50000000e-01  4.50000000e-01  1.00000000e+00 -5.70565377e-03  5.70567246e-03  3.34010023e-08 -5.20913457e-08  3.14543038e-18 
 5.00000000e-01  5.00000000e-01  1.00000000e+00 -5.98962132e-03  5.98963984e-03  3.54998756e-08 -5.40153481e-08  4.93607788e-18 
 5.50000000e-01  5.50000000e-01  1.00000000e+00 -6.21885808e-03  6.21887650e-03  3.77177952e-08 -5.61379345e-08  9.57451633e-19 
 6.00000000e-01  6.00000000e-01  1.00000000e+00 -6.41112143e-03  6.41113982e-03  4.00603689e-08 -5.84489414e-08  1.42248596e-18 
 6.50000000e-01  6.50000000e-01  1.00000000e+00 -6.58150275e-03  6.58152115e-03  4.25333666e-08 -6.09368176e-08  4.57940422e-19 
 7.00000000e-01  7.00000000e-01  1.00000000e+00 -6.73947802e-03  6.73949647e-03  4.51427734e-08 -6.35943235e-08  2.62781384e-18 
 7.50000000e-01  7.50000000e-01  1.00000000e+00 -6.89036042e-03  6.89037895e-03  4.78947970e-08 -6.64186846e-08  1.64996062e-18 
 8.00000000e-01  8.00000000e-01  1.00000000e+00 -7.03710783e-03  7.03712645e-03  5.07958618e-08 -6.94102214e-08  2.92393126e-18 
 8.50000000e-01  8.50000000e-01  1.00000000e+00 -7.18142516e-03  7.18144388e-03  5.38526032e-08 -7.25712697e-08  1.67522603e-18 
 9.00000000e-01  9.00000000e-01  1.00000000e+00 -7.32434117e-03  7.32436001e-03  5.70718654e-08 -7.59055335e-08  6.57919607e-19 
 9.50000000e-01  9.50000000e-01  1.00000000e+00 -7.46650684e-03  7.46652580e-03  6.04607003e-08 -7.94177101e-08  6.85606996e-19 
 1.00000000e+00  1.00000000e+00  1.00000000e+00 -7.60835754e-03  7.60837662e-03  6.40263680e-08 -8.31132165e-08  8.12847227e-19 
 1.05000000e+00  1.05000000e+00  1.00000000e+00 -7.75021089e-03  7.75023010e-03  6.77763375e-08 -8.69945679e-08  1.09780764e-18 
 1.10000000e+00  1.10000000e+00  1.00000000e+00 -7.89233497e-03  7.89235431e-03  7.17182877e-08 -9.10657264e-08  7.88217097e-19 
 1.15000000e+00  1.15000000e+00  1.00000000e+00 -8.03500255e-03  8.03502203e-03  7.58601083e-08 -9.53329629e-08  2.13161135e-19 
 1.20000000e+00  1.20000000e+00  1.00000000e+00 -8.17853714e-03  8.17855673e-03  8.02099013e-08 -9.98024786e-08  5.45780386e-19 
 0.00000000e+00  0.00000000e+00  1.10000000e+00  1.91079203e-08  1.91079277e-08  6.09916382e-08 -9.92074862e-08  2.81069355e-19 
 5.00000000e-02  5.00000000e-02  1.10000000e+00 -9.62300233e-04  9.62336649e-04  6.46589523e-08 -1.01074813e-07  2.11520009e-19 
 1.00000000e-01  1.00000000e-01  1.10000000e+00 -1.85537033e-03  1.85540516e-03  6.85205253e-08 -1.03354993e-07  5.34001334e-19 
 1.50000000e-01  1.50000000e-01  1.10000000e+00 -2.68077047e-03  2.68080398e-03  7.25847290e-08 -1.06085336e-07  4.56736047e-19 
 2.00000000e-01  2.00000000e-01  1.10000000e+00 -3.43993204e-03  3.43996441e-03  7.68601786e-08 -1.09230395e-07  5.08008010e-19 
 2.50000000e-01  2.50000000e-01  1.10000000e+00 -4.13409001e-03  4.13412142e-03  8.13557347e-08 -1.12767445e-07  3.88012558e-18 
 3.00000000e-01  3.00000000e-01  1.10000000e+00 -4.76419827e-03  4.76422887e-03  8.60805075e-08 -1.16680750e-07  7.11600320e-19 
 3.50000000e-01  3.50000000e-01  1.10000000e+00 -5.33078679e-03  5.33081670e-03  9.10438634e-08 -1.20960526e-07  2.60572481e-18 
 4.00000000e-01  4.00000000e-01  1.10000000e+00 -5.83375249e-03  5.83378184e-03  9.62554331e-08 -1.25603074e-07  2.88234724e-18 
 4.50000000e-01  4.50000000e-01  1.10000000e+00 -6.27220338e-03  6.27223227e-03  1.01725124e-07 -1.30611609e-07  1.32217873e-18 
 5.00000000e-01  5.00000000e-01  1.10000000e+00 -6.64499565e-03  6.64502419e-03  1.07463130e-07 -1.35996692e-07  1.14219746e-18 
 5.50000000e-01  5.50000000e-01  1.10000000e+00 -6.95345288e-03  6.95348118e-03  1.13479919e-07 -1.41772524e-07  2.73011954e-18 
 6.00000000e-01  6.00000000e-01  1.10000000e+00 -7.20584285e-03  7.20587101e-03  1.19786168e-07 -1.47946331e-07  2.45231920e-18 
 6.50000000e-01  6.50000000e-01  1.10000000e+00 -7.41714421e-03  7.41717233e-03  1.26392721e-07 -1.54511830e-07  2.75211592e-18 
 7.00000000e-01  7.00000000e-01  1.10000000e+00 -7.60238166e-03  7.60240981e-03  1.33310634e-07 -1.61457095e-07  1.50830098e-18 
 7.50000000e-01  7.50000000e-01  1.10000000e+00 -7.77213886e-03  7.77216708e-03  1.40551239e-07 -1.68774091e-07  4.04272944e-18 
 8.00000000e-01  8.00000000e-01  1.10000000e+00 -7.93275549e-03  7.93278383e-03  1.48126167e-07 -1.76460878e-07  5.99116992e-19 
 8.50000000e-01  8.50000000e-01  1.10000000e+00 -8.08787960e-03  8.08790808e-03  1.56047344e-07 -1.84520226e-07  6.22521571e-18 
 9.00000000e-01  9.00000000e-01  1.10000000e+00 -8.23964604e-03  8.23967467e-03  1.64326991e-07 -1.92958046e-07  5.15223672e-18 
 9.50000000e-01  9.50000000e-01  1.10000000e+00 -8.38935112e-03  8.38937992e-03  1.72977621e-07 -2.01782350e-07  1.38913403e-19 
 1.00000000e+00  1.00000000e+00  1.10000000e+00 -8.53781606e-03  8.53784505e-03  1.82012041e-07 -2.11002634e-07  8.98781366e-19 
