Title: * mosfet noise analysis simulation
Date: Sun May 11 15:55:33  2025
Plotname: Noise Spectral Density Curves
Flags: real
No. Variables: 3
No. Points: 201
Variables:
	0	frequency	frequency grid=3
	1	freq	frequency
	2	length_noise	voltage-density
Values:
	1.020470375627392e-12

 129	2.818382931264425e+06
	2.818382931264425e+06
	9.094951799937202e-13

 130	3.162277660168346e+06
	3.162277660168346e+06
	8.105884326662953e-13

 131	3.548133892335718e+06
	3.548133892335718e+06
	7.224377012456971e-13

 132	3.981071705534931e+06
	3.981071705534931e+06
	6.438732791153575e-13

 133	4.466835921509584e+06
	4.466835921509584e+06
	5.738526641493014e-13

 134	5.011872336272670e+06
	5.011872336272670e+06
	5.114467253450658e-13

 135	5.623413251903431e+06
	5.623413251903431e+06
	4.558273738217444e-13

 136	6.309573444801864e+06
	6.309573444801864e+06
	4.062565745850290e-13

 137	7.079457843841302e+06
	7.079457843841302e+06
	3.620765532522125e-13

 138	7.943282347242728e+06
	7.943282347242728e+06
	3.227010677864586e-13

 139	8.912509381337358e+06
	8.912509381337358e+06
	2.876076294216406e-13

 140	9.999999999999890e+06
	9.999999999999890e+06
	2.563305695542059e-13

 141	1.122018454301951e+07
	1.122018454301951e+07
	2.284548606039740e-13

 142	1.258925411794153e+07
	1.258925411794153e+07
	2.036106088504773e-13

 143	1.412537544622738e+07
	1.412537544622738e+07
	1.814681461681467e-13

 144	1.584893192461096e+07
	1.584893192461096e+07
	1.617336555306670e-13

 145	1.778279410038903e+07
	1.778279410038903e+07
	1.441452722376111e-13

 146	1.995262314968857e+07
	1.995262314968857e+07
	1.284696091290091e-13

 147	2.238721138568314e+07
	2.238721138568314e+07
	1.144986596795640e-13

 148	2.511886431509551e+07
	2.511886431509551e+07
	1.020470378784595e-13

 149	2.818382931264421e+07
	2.818382931264421e+07
	9.094951826964628e-14

 150	3.162277660168342e+07
	3.162277660168342e+07
	8.105884351043621e-14

 151	3.548133892335713e+07
	3.548133892335713e+07
	7.224377035604080e-14

 152	3.981071705534925e+07
	3.981071705534925e+07
	6.438732814145697e-14

 153	4.466835921509578e+07
	4.466835921509578e+07
	5.738526665181377e-14

 154	5.011872336272663e+07
	5.011872336272663e+07
	5.114467278536219e-14

 155	5.623413251903423e+07
	5.623413251903423e+07
	4.558273765306788e-14

 156	6.309573444801856e+07
	6.309573444801856e+07
	4.062565775496652e-14

 157	7.079457843841292e+07
	7.079457843841292e+07
	3.620765565256076e-14

 158	7.943282347242716e+07
	7.943282347242716e+07
	3.227010714217605e-14

 159	8.912509381337343e+07
	8.912509381337343e+07
	2.876076334739628e-14

 160	9.999999999999873e+07
	9.999999999999873e+07
	2.563305740821875e-14

 161	1.122018454301949e+08
	1.122018454301949e+08
	2.284548656711445e-14

 162	1.258925411794151e+08
	1.258925411794151e+08
	2.036106145265145e-14

 163	1.412537544622736e+08
	1.412537544622736e+08
	1.814681525300951e-14

 164	1.584893192461093e+08
	1.584893192461093e+08
	1.617336626641684e-14

 165	1.778279410038899e+08
	1.778279410038899e+08
	1.441452802381882e-14

 166	1.995262314968853e+08
	1.995262314968853e+08
	1.284696181034375e-14

 167	2.238721138568310e+08
	2.238721138568310e+08
	1.144986697473625e-14

 168	2.511886431509547e+08
	2.511886431509547e+08
	1.020470491735287e-14

 169	2.818382931264416e+08
	2.818382931264416e+08
	9.094953094208215e-15

 170	3.162277660168337e+08
	3.162277660168337e+08
	8.105885772854792e-15

 171	3.548133892335706e+08
	3.548133892335706e+08
	7.224378630860263e-15

 172	3.981071705534918e+08
	3.981071705534918e+08
	6.438734604022638e-15

 173	4.466835921509570e+08
	4.466835921509570e+08
	5.738528673435038e-15

 174	5.011872336272654e+08
	5.011872336272654e+08
	5.114469531818674e-15

 175	5.623413251903414e+08
	5.623413251903414e+08
	4.558276293520312e-15

 176	6.309573444801846e+08
	6.309573444801846e+08
	4.062568612190834e-15

 177	7.079457843841281e+08
	7.079457843841281e+08
	3.620768748073201e-15

 178	7.943282347242705e+08
	7.943282347242705e+08
	3.227014285392278e-15

 179	8.912509381337330e+08
	8.912509381337330e+08
	2.876080341659272e-15

 180	9.999999999999859e+08
	9.999999999999859e+08
	2.563310236655536e-15

 181	1.122018454301948e+09
	1.122018454301948e+09
	2.284553701115281e-15

 182	1.258925411794149e+09
	1.258925411794149e+09
	2.036111805173922e-15

 183	1.412537544622734e+09
	1.412537544622734e+09
	1.814687875816062e-15

 184	1.584893192461091e+09
	1.584893192461091e+09
	1.617343752027431e-15

 185	1.778279410038897e+09
	1.778279410038897e+09
	1.441460797183238e-15

 186	1.995262314968851e+09
	1.995262314968851e+09
	1.284705151330986e-15

 187	2.238721138568307e+09
	2.238721138568307e+09
	1.144996762286634e-15

 188	2.511886431509544e+09
	2.511886431509544e+09
	1.020481784605564e-15

 189	2.818382931264413e+09
	2.818382931264413e+09
	9.095079801793904e-16

 190	3.162277660168333e+09
	3.162277660168333e+09
	8.106027940394588e-16

 191	3.548133892335702e+09
	3.548133892335702e+09
	7.224538144461586e-16

 192	3.981071705534914e+09
	3.981071705534914e+09
	6.438913579812177e-16

 193	4.466835921509564e+09
	4.466835921509564e+09
	5.738729485575626e-16

 194	5.011872336272648e+09
	5.011872336272648e+09
	5.114694843924269e-16

 195	5.623413251903406e+09
	5.623413251903406e+09
	4.558529093875281e-16

 196	6.309573444801837e+09
	6.309573444801837e+09
	4.062852253225801e-16

 197	7.079457843841271e+09
	7.079457843841271e+09
	3.621086990600140e-16

 198	7.943282347242694e+09
	7.943282347242694e+09
	3.227371348155874e-16

 199	8.912509381337318e+09
	8.912509381337318e+09
	2.876480956819979e-16

 200	9.999999999999846e+09
	9.999999999999846e+09
	2.563759711881231e-16

