 v-sweep         v(drain_iv)     v(gate_iv)      id              is              ib              ig              kcl_error      
 8.00000000e-01  8.00000000e-01  4.00000000e-01 -1.27185810e-03  1.27185811e-03  7.01095506e-12 -1.60944834e-11  7.43965561e-19 
 9.00000000e-01  9.00000000e-01  4.00000000e-01 -1.46446635e-03  1.46446613e-03  9.07455798e-12  2.17215077e-10  9.04050153e-19 
 1.00000000e+00  1.00000000e+00  4.00000000e-01 -1.67127353e-03  1.67127291e-03  1.95846736e-11  6.00843128e-10  5.85207901e-19 
 1.10000000e+00  1.10000000e+00  4.00000000e-01 -1.89325862e-03  1.89325684e-03  5.74232690e-10  1.20825287e-09  2.32759370e-18 
 1.20000000e+00  1.20000000e+00  4.00000000e-01 -2.13247309e-03  2.13246117e-03  9.78253713e-09  2.14369530e-09  7.70502197e-19 
 0.00000000e+00  0.00000000e+00  5.00000000e-01  6.17957049e-10  6.17957049e-10  8.00642137e-13 -1.23671474e-09  1.69060851e-18 
 1.00000000e-01  1.00000000e-01  5.00000000e-01 -1.09421963e-03  1.09422064e-03  1.14728479e-12 -1.01490027e-09  2.34073514e-18 
 2.00000000e-01  2.00000000e-01  5.00000000e-01 -1.40533034e-03  1.40533123e-03  2.13536431e-12 -8.94039436e-10  4.92118647e-19 
 3.00000000e-01  3.00000000e-01  5.00000000e-01 -1.62605894e-03  1.62605978e-03  3.55281993e-12 -8.35345062e-10  4.36576302e-19 
 4.00000000e-01  4.00000000e-01  5.00000000e-01 -1.84393612e-03  1.84393693e-03  5.32387908e-12 -8.14027746e-10  2.76670376e-19 
 5.00000000e-01  5.00000000e-01  5.00000000e-01 -2.06741370e-03  2.06741451e-03  7.45945255e-12 -8.14616841e-10  1.09357438e-18 
 6.00000000e-01  6.00000000e-01  5.00000000e-01 -2.29774033e-03  2.29774113e-03  9.98048903e-12 -8.13659213e-10  1.36027406e-18 
 7.00000000e-01  7.00000000e-01  5.00000000e-01 -2.53482142e-03  2.53482220e-03  1.29096082e-11 -7.89699263e-10  9.93655705e-19 
 8.00000000e-01  8.00000000e-01  5.00000000e-01 -2.77839415e-03  2.77839486e-03  1.62699788e-11 -7.26528070e-10  3.44453662e-19 
 9.00000000e-01  9.00000000e-01  5.00000000e-01 -3.02861843e-03  3.02861901e-03  2.00854843e-11 -6.00011422e-10  1.07675678e-18 
 1.00000000e+00  1.00000000e+00  5.00000000e-01 -3.28656209e-03  3.28656244e-03  2.43812524e-11 -3.74737659e-10  1.55306077e-18 
 1.10000000e+00  1.10000000e+00  5.00000000e-01 -3.55456582e-03  3.55456560e-03  2.23928346e-10  5.71900166e-13  1.35392088e-18 
 1.20000000e+00  1.20000000e+00  5.00000000e-01 -3.83643959e-03  3.83643433e-03  4.65673889e-09  5.99363384e-10  1.66381425e-18 
 0.00000000e+00  0.00000000e+00  6.00000000e-01  1.34222796e-09  1.34222796e-09  4.59494572e-12 -2.68905086e-09  4.82252226e-20 
 1.00000000e-01  1.00000000e-01  6.00000000e-01 -1.97532352e-03  1.97532583e-03  5.67192302e-12 -2.31230531e-09  4.10957979e-19 
 2.00000000e-01  2.00000000e-01  6.00000000e-01 -2.74451145e-03  2.74451354e-03  7.80737126e-12 -2.09532784e-09  1.54757829e-18 
 3.00000000e-01  3.00000000e-01  6.00000000e-01 -3.08864887e-03  3.08865085e-03  1.10891268e-11 -1.98871827e-09  2.43561110e-18 
 4.00000000e-01  4.00000000e-01  6.00000000e-01 -3.37005765e-03  3.37005958e-03  1.51041727e-11 -1.94587171e-09  4.13283267e-19 
 5.00000000e-01  5.00000000e-01  6.00000000e-01 -3.63984159e-03  3.63984351e-03  1.98022729e-11 -1.94141395e-09  1.50705222e-18 
 6.00000000e-01  6.00000000e-01  6.00000000e-01 -3.90759870e-03  3.90760064e-03  2.52233480e-11 -1.95963546e-09  2.92767059e-18 
 7.00000000e-01  7.00000000e-01  6.00000000e-01 -4.17609208e-03  4.17609403e-03  3.14323224e-11 -1.97703564e-09  2.96502332e-18 
 8.00000000e-01  8.00000000e-01  6.00000000e-01 -4.44644455e-03  4.44644648e-03  3.85098829e-11 -1.97218657e-09  9.98352735e-19 
 9.00000000e-01  9.00000000e-01  6.00000000e-01 -4.71968147e-03  4.71968335e-03  4.65520606e-11 -1.92894510e-09  2.41480827e-19 
 1.00000000e+00  1.00000000e+00  6.00000000e-01 -4.99762199e-03  4.99762376e-03  5.56720859e-11 -1.82326894e-09  9.40827493e-19 
 1.10000000e+00  1.10000000e+00  6.00000000e-01 -5.28349136e-03  5.28349289e-03  8.72028783e-11 -1.61986146e-09  3.14474762e-18 
 1.20000000e+00  1.20000000e+00  6.00000000e-01 -5.58224273e-03  5.58224238e-03  1.61269111e-09 -1.26758252e-09  1.20280995e-18 
 0.00000000e+00  0.00000000e+00  7.00000000e-01  2.55378435e-09  2.55378435e-09  2.75821653e-11 -5.13515087e-09  3.23844822e-19 
 1.00000000e-01  1.00000000e-01  7.00000000e-01 -2.62113079e-03  2.62113528e-03  3.31145642e-11 -4.52398744e-09  2.48144189e-18 
 2.00000000e-01  2.00000000e-01  7.00000000e-01 -4.01297479e-03  4.01297889e-03  4.04410438e-11 -4.14564061e-09  4.32120899e-18 
 3.00000000e-01  3.00000000e-01  7.00000000e-01 -4.59162643e-03  4.59163033e-03  5.05279118e-11 -3.95575703e-09  3.52731842e-18 
 4.00000000e-01  4.00000000e-01  7.00000000e-01 -4.94374548e-03  4.94374930e-03  6.30107282e-11 -3.88048211e-09  3.61952872e-19 
 5.00000000e-01  5.00000000e-01  7.00000000e-01 -5.24969115e-03  5.24969494e-03  7.77527845e-11 -3.87195426e-09  2.03292384e-18 
