 v-sweep         v(vdd_therm)    v(gate_therm)   id_therm        power           efficiency     
 7.00000000e-01  7.00000000e-01  5.00000000e-01 -6.55771748e-04 -4.59040223e-04 -6.31832176e-02 
 8.00000000e-01  8.00000000e-01  5.00000000e-01 -7.47268741e-04 -5.97814993e-04 -6.59140736e-02 
 9.00000000e-01  9.00000000e-01  5.00000000e-01 -8.37771956e-04 -7.53994760e-04 -6.91422714e-02 
 1.00000000e+00  1.00000000e+00  5.00000000e-01 -9.26947374e-04 -9.26947374e-04 -7.30526256e-02 
 1.10000000e+00  1.10000000e+00  5.00000000e-01 -1.01428492e-03 -1.11571341e-03 -7.79228037e-02 
 1.20000000e+00  1.20000000e+00  5.00000000e-01 -1.09903139e-03 -1.31883767e-03 -8.41405054e-02 
 0.00000000e+00  0.00000000e+00  6.00000000e-01  4.70396143e-11  0.00000000e+00  2.21272532e-03 
 1.00000000e-01  1.00000000e-01  6.00000000e-01 -9.64583467e-05 -9.64583467e-06 -3.54165329e-02 
 2.00000000e-01  2.00000000e-01  6.00000000e-01 -1.92839622e-04 -3.85679244e-05 -3.58018912e-02 
 3.00000000e-01  3.00000000e-01  6.00000000e-01 -2.89138974e-04 -8.67416921e-05 -3.62034213e-02 
 4.00000000e-01  4.00000000e-01  6.00000000e-01 -3.85351283e-04 -1.54140513e-04 -3.66217924e-02 
 5.00000000e-01  5.00000000e-01  6.00000000e-01 -4.81471016e-04 -2.40735508e-04 -3.70579690e-02 
 6.00000000e-01  6.00000000e-01  6.00000000e-01 -5.77492124e-04 -3.46495275e-04 -3.75131258e-02 
 7.00000000e-01  7.00000000e-01  6.00000000e-01 -6.73407948e-04 -4.71385564e-04 -3.79886455e-02 
 8.00000000e-01  8.00000000e-01  6.00000000e-01 -7.69211092e-04 -6.15368874e-04 -3.84861347e-02 
 9.00000000e-01  9.00000000e-01  6.00000000e-01 -8.64893293e-04 -7.78403963e-04 -3.90074528e-02 
 1.00000000e+00  1.00000000e+00  6.00000000e-01 -9.60445248e-04 -9.60445248e-04 -3.95547515e-02 
 1.10000000e+00  1.10000000e+00  6.00000000e-01 -1.05585642e-03 -1.16144206e-03 -4.01305286e-02 
 1.20000000e+00  1.20000000e+00  6.00000000e-01 -1.15111476e-03 -1.38133772e-03 -4.07376960e-02 
 0.00000000e+00  0.00000000e+00  7.00000000e-01  7.47094297e-11  0.00000000e+00  5.58149889e-03 
 1.00000000e-01  1.00000000e-01  7.00000000e-01 -9.70557110e-05 -9.70557110e-06 -2.94428902e-02 
 2.00000000e-01  2.00000000e-01  7.00000000e-01 -1.94073040e-04 -3.88146080e-05 -2.96347994e-02 
 3.00000000e-01  3.00000000e-01  7.00000000e-01 -2.91050528e-04 -8.73151583e-05 -2.98315740e-02 
 4.00000000e-01  4.00000000e-01  7.00000000e-01 -3.87986724e-04 -1.55194689e-04 -3.00331907e-02 
 5.00000000e-01  5.00000000e-01  7.00000000e-01 -4.84880126e-04 -2.42440063e-04 -3.02397483e-02 
