 time            time            v(gate_rc)      id             
 2.81784354e-12  2.81784354e-12  7.63741867e-01  1.11174571e-03 
 2.85428419e-12  2.85428419e-12  7.69420127e-01  1.13226747e-03 
 2.89107982e-12  2.89107982e-12  7.75072264e-01  1.15268191e-03 
 2.92823065e-12  2.92823065e-12  7.80697512e-01  1.17298576e-03 
 2.96573726e-12  2.96573726e-12  7.86295174e-01  1.19317604e-03 
 3.00359998e-12  3.00359998e-12  7.91864519e-01  1.21324968e-03 
 3.04181940e-12  3.04181940e-12  7.97404869e-01  1.23320387e-03 
 3.08039595e-12  3.08039595e-12  8.02915530e-01  1.25303576e-03 
 3.11933029e-12  3.11933029e-12  8.08395849e-01  1.27274269e-03 
 3.15862294e-12  3.15862294e-12  8.13845169e-01  1.29232204e-03 
 3.19827465e-12  3.19827465e-12  8.19262869e-01  1.31177135e-03 
 3.23828609e-12  3.23828609e-12  8.24648328e-01  1.33108818e-03 
 3.27865810e-12  3.27865810e-12  8.30000956e-01  1.35027027e-03 
 3.31939149e-12  3.31939149e-12  8.35320172e-01  1.36931539e-03 
 3.36048723e-12  3.36048723e-12  8.40605421e-01  1.38822146e-03 
 3.40194629e-12  3.40194629e-12  8.45856157e-01  1.40698647e-03 
 3.44376978e-12  3.44376978e-12  8.51071861e-01  1.42560850e-03 
 3.48595883e-12  3.48595883e-12  8.56252025e-01  1.44408573e-03 
 3.52851470e-12  3.52851470e-12  8.61396165e-01  1.46241645e-03 
 3.57143870e-12  3.57143870e-12  8.66503811e-01  1.48059902e-03 
 3.61473223e-12  3.61473223e-12  8.71574512e-01  1.49863188e-03 
 3.65839680e-12  3.65839680e-12  8.76607834e-01  1.51651359e-03 
 3.70243398e-12  3.70243398e-12  8.81603362e-01  1.53424275e-03 
 3.74684543e-12  3.74684543e-12  8.86560697e-01  1.55181808e-03 
 3.79163293e-12  3.79163293e-12  8.91479456e-01  1.56923837e-03 
 3.83679832e-12  3.83679832e-12  8.96359275e-01  1.58650248e-03 
 3.88234354e-12  3.88234354e-12  9.01199804e-01  1.60360936e-03 
 3.92827063e-12  3.92827063e-12  9.06000711e-01  1.62055801e-03 
 3.97458173e-12  3.97458173e-12  9.10761679e-01  1.63734752e-03 
 4.02127905e-12  4.02127905e-12  9.15482406e-01  1.65397706e-03 
 4.06836491e-12  4.06836491e-12  9.20162606e-01  1.67044585e-03 
 4.11584174e-12  4.11584174e-12  9.24802007e-01  1.68675318e-03 
 4.16371206e-12  4.16371206e-12  9.29400353e-01  1.70289841e-03 
 4.21197846e-12  4.21197846e-12  9.33957401e-01  1.71888097e-03 
 4.26064368e-12  4.26064368e-12  9.38472924e-01  1.73470032e-03 
 4.30971051e-12  4.30971051e-12  9.42946706e-01  1.75035602e-03 
 4.35918189e-12  4.35918189e-12  9.47378547e-01  1.76584765e-03 
 4.40906081e-12  4.40906081e-12  9.51768258e-01  1.78117488e-03 
 4.45935041e-12  4.45935041e-12  9.56115666e-01  1.79633741e-03 
 4.51005038e-12  4.51005038e-12  9.60420311e-01  1.81133396e-03 
 4.56117605e-12  4.56117605e-12  9.64683050e-01  1.82616785e-03 
 4.61271421e-12  4.61271421e-12  9.68902358e-01  1.84083411e-03 
 4.66468331e-12  4.66468331e-12  9.73079333e-01  1.85533690e-03 
 4.71707406e-12  4.71707406e-12  9.77212819e-01  1.86967255e-03 
 4.76990154e-12  4.76990154e-12  9.81303609e-01  1.88384417e-03 
 4.82316012e-12  4.82316012e-12  9.85350873e-01  1.89784926e-03 
 4.87686194e-12  4.87686194e-12  9.89355152e-01  1.91169003e-03 
 4.93100421e-12  4.93100421e-12  9.93315862e-01  1.92536483e-03 
 4.98559703e-12  4.98559703e-12  9.97233372e-01  1.93887533e-03 
 5.04063975e-12  5.04063975e-12  1.00110728e+00  1.95222047e-03 
 5.09614110e-12  5.09614110e-12  1.00493784e+00  1.96540155e-03 
 5.15210205e-12  5.15210205e-12  1.00872477e+00  1.97841799e-03 
 5.20853039e-12  5.20853039e-12  1.01246828e+00  1.99127080e-03 
 5.26542838e-12  5.26542838e-12  1.01616817e+00  2.00395976e-03 
 5.32280322e-12  5.32280322e-12  1.01982458e+00  2.01648574e-03 
 5.38065813e-12  5.38065813e-12  1.02343742e+00  2.02884875e-03 
 5.43899998e-12  5.43899998e-12  1.02700680e+00  2.04104958e-03 
 5.49783280e-12  5.49783280e-12  1.03053265e+00  2.05308842e-03 
 5.55716330e-12  5.55716330e-12  1.03401510e+00  2.06496603e-03 
 5.61699618e-12  5.61699618e-12  1.03745412e+00  2.07668274e-03 
 5.67723724e-12  5.67723724e-12  1.04084420e+00  2.08822018e-03 
 5.73789441e-12  5.73789441e-12  1.04418586e+00  2.09958057e-03 
 5.79895007e-12  5.79895007e-12  1.04747824e+00  2.11076144e-03 
 5.86042579e-12  5.86042579e-12  1.05072263e+00  2.12176758e-03 
 5.92231789e-12  5.92231789e-12  1.05391894e+00  2.13259914e-03 
 5.98464468e-12  5.98464468e-12  1.05706821e+00  2.14326009e-03 
 6.04740478e-12  6.04740478e-12  1.06017047e+00  2.15375091e-03 
 6.11061279e-12  6.11061279e-12  1.06322652e+00  2.16407478e-03 
 6.17426922e-12  6.17426922e-12  1.06623647e+00  2.17423244e-03 
 6.23838664e-12  6.23838664e-12  1.06920100e+00  2.18422659e-03 
 6.30296743e-12  6.30296743e-12  1.07212029e+00  2.19405824e-03 
 6.36802294e-12  6.36802294e-12  1.07499492e+00  2.20372977e-03 
 6.43355714e-12  6.43355714e-12  1.07782515e+00  2.21324238e-03 
 6.49958058e-12  6.49958058e-12  1.08061149e+00  2.22259823e-03 
 6.56609843e-12  6.56609843e-12  1.08335423e+00  2.23179863e-03 
 6.63312078e-12  6.63312078e-12  1.08605386e+00  2.24084557e-03 
 6.70065379e-12  6.70065379e-12  1.08871067e+00  2.24974045e-03 
 6.76870729e-12  6.76870729e-12  1.09132512e+00  2.25848513e-03 
 6.83728829e-12  6.83728829e-12  1.09389753e+00  2.26708104e-03 
 6.90640654e-12  6.90640654e-12  1.09642833e+00  2.27552994e-03 
 6.97606978e-12  6.97606978e-12  1.09891785e+00  2.28383331e-03 
 7.04628783e-12  7.04628783e-12  1.10136650e+00  2.29199283e-03 
 7.11706911e-12  7.11706911e-12  1.10377462e+00  2.30000996e-03 
 7.18842359e-12  7.18842359e-12  1.10614259e+00  2.30788634e-03 
 7.26036034e-12  7.26036034e-12  1.10847078e+00  2.31562345e-03 
 7.33288960e-12  7.33288960e-12  1.11075956e+00  2.32322286e-03 
 7.40602102e-12  7.40602102e-12  1.11300927e+00  2.33068604e-03 
 7.47976522e-12  7.47976522e-12  1.11522030e+00  2.33801452e-03 
 7.55413243e-12  7.55413243e-12  1.11739300e+00  2.34520977e-03 
 7.62913368e-12  7.62913368e-12  1.11952772e+00  2.35227329e-03 
 7.70477982e-12  7.70477982e-12  1.12162482e+00  2.35920652e-03 
 7.78108237e-12  7.78108237e-12  1.12368467e+00  2.36601095e-03 
 7.85805278e-12  7.85805278e-12  1.12570760e+00  2.37268799e-03 
 7.93570312e-12  7.93570312e-12  1.12769399e+00  2.37923911e-03 
 8.01404550e-12  8.01404550e-12  1.12964417e+00  2.38566571e-03 
 8.09309257e-12  8.09309257e-12  1.13155851e+00  2.39196921e-03 
 8.17285714e-12  8.17285714e-12  1.13343735e+00  2.39815102e-03 
 8.25335250e-12  8.25335250e-12  1.13528104e+00  2.40421254e-03 
 8.33459219e-12  8.33459219e-12  1.13708993e+00  2.41015516e-03 
