 time            time            v(in_delay)     v(mid1_delay)   v(mid2_delay)   v(out_delay)   
 1.96601406e-11  1.96601406e-11  2.35921687e-01  1.19999820e+00 -5.38270487e-05  1.19997367e+00 
 1.96631365e-11  1.96631365e-11  2.35957638e-01  1.19999643e+00 -5.39220242e-05  1.19997367e+00 
 1.96656253e-11  1.96656253e-11  2.35987503e-01  1.19999513e+00 -5.39983908e-05  1.19997367e+00 
 1.96688786e-11  1.96688786e-11  2.36026543e-01  1.19999353e+00 -5.40942017e-05  1.19997367e+00 
 1.96724954e-11  1.96724954e-11  2.36069945e-01  1.19999180e+00 -5.41953898e-05  1.19997366e+00 
 1.96770610e-11  1.96770610e-11  2.36124732e-01  1.19998959e+00 -5.43159021e-05  1.19997366e+00 
 1.96828012e-11  1.96828012e-11  2.36193614e-01  1.19998673e+00 -5.44580276e-05  1.19997365e+00 
 1.96908477e-11  1.96908477e-11  2.36290172e-01  1.19998257e+00 -5.46442383e-05  1.19997365e+00 
 1.97023464e-11  1.97023464e-11  2.36428157e-01  1.19997638e+00 -5.48926719e-05  1.19997364e+00 
 1.97171257e-11  1.97171257e-11  2.36605508e-01  1.19996810e+00 -5.51924203e-05  1.19997363e+00 
 1.97354307e-11  1.97354307e-11  2.36825168e-01  1.19995749e+00 -5.55437804e-05  1.19997362e+00 
 1.97576923e-11  1.97576923e-11  2.37092307e-01  1.19994420e+00 -5.59501639e-05  1.19997361e+00 
 1.97868455e-11  1.97868455e-11  2.37442146e-01  1.19992628e+00 -5.64568548e-05  1.19997360e+00 
 1.98218181e-11  1.98218181e-11  2.37861817e-01  1.19990413e+00 -5.70380776e-05  1.19997360e+00 
 1.98537093e-11  1.98537093e-11  2.38244511e-01  1.19988335e+00 -5.75524780e-05  1.19997359e+00 
 1.98905573e-11  1.98905573e-11  2.38686688e-01  1.19985871e+00 -5.81404348e-05  1.19997359e+00 
 1.99260604e-11  1.99260604e-11  2.39112725e-01  1.19983436e+00 -5.87103501e-05  1.19997360e+00 
