 time            time            v(gate_charge)  ig_charge       id_charge       is_charge       ib_charge       i_total         qg_approx       qd_approx       qs_approx       qb_approx       q_total        
 9.14599290e-13  9.14599290e-13  1.09751915e-03 -8.28812993e-06  1.61073708e-06  5.53051130e-06  1.14568155e-06 -1.19999995e-09 -5.00781317e-18  6.24195685e-19  3.70888895e-18  6.73691014e-19 -1.03751916e-21 
 9.50717669e-13  9.50717669e-13  1.14086120e-03 -8.37706692e-06  1.63916421e-06  5.57783921e-06  1.15886350e-06 -1.20000006e-09 -5.30877311e-18  6.82886267e-19  3.90949675e-18  7.15309229e-19 -1.08086122e-21 
 9.87807787e-13  9.87807787e-13  1.18536934e-03 -8.46072898e-06  1.66578272e-06  5.62248917e-06  1.17125709e-06 -1.20000005e-09 -5.62103103e-18  7.44176704e-19  4.11720750e-18  7.58521453e-19 -1.12536936e-21 
 1.02598947e-12  1.02598947e-12  1.23118736e-03 -8.53942925e-06  1.69069286e-06  5.66462762e-06  1.18290878e-06 -1.20000006e-09 -5.94557836e-18  8.08254647e-19  4.33268806e-18  8.03464460e-19 -1.17118738e-21 
 1.06526812e-12  1.06526812e-12  1.27832175e-03 -8.61321916e-06  1.71391153e-06  5.70428139e-06  1.19382624e-06 -1.20000005e-09 -6.28244482e-18  8.75118786e-19  4.55596578e-18  8.50141936e-19 -1.21832177e-21 
 1.10575764e-12  1.10575764e-12  1.32690917e-03 -8.68235643e-06  1.73552059e-06  5.74158813e-06  1.20404770e-06 -1.20000004e-09 -6.63258958e-18  9.44951707e-19  4.78768465e-18  8.98686316e-19 -1.26690919e-21 
 1.14748834e-12  1.14748834e-12  1.37698600e-03 -8.74693513e-06  1.75555024e-06  5.77659774e-06  1.21358715e-06 -1.19999993e-09 -6.99625780e-18  1.01779411e-18  5.02801560e-18  9.49131106e-19 -1.31698603e-21 
 1.19057474e-12  1.19057474e-12  1.42868969e-03 -8.80717746e-06  1.77407036e-06  5.80942958e-06  1.22247752e-06 -1.20000007e-09 -7.37442962e-18  1.09383345e-18  5.27761574e-18  1.00161174e-18 -1.36868971e-21 
 1.23507144e-12  1.23507144e-12  1.48208573e-03 -8.86320399e-06  1.79111905e-06  5.84014825e-06  1.23073669e-06 -1.19999996e-09 -7.76756642e-18  1.17315302e-18  5.53679960e-18  1.05619171e-18 -1.42208575e-21 
 1.28109994e-12  1.28109994e-12  1.53731993e-03 -8.91521405e-06  1.80675819e-06  5.86886168e-06  1.23839418e-06 -1.20000003e-09 -8.17672338e-18  1.25595547e-18  5.80627369e-18  1.11301690e-18 -1.47731995e-21 
 1.32874033e-12  1.32874033e-12  1.59448839e-03 -8.96334432e-06  1.82103024e-06  5.89564385e-06  1.24547024e-06 -1.20000005e-09 -8.60259411e-18  1.34237009e-18  6.08650649e-18  1.17218304e-18 -1.53448842e-21 
 1.37812781e-12  1.37812781e-12  1.65375337e-03 -9.00777930e-06  1.83399149e-06  5.92059568e-06  1.25199212e-06 -1.20000003e-09 -9.04636835e-18  1.43262625e-18  6.37829363e-18  1.23385472e-18 -1.59375339e-21 
 1.42937127e-12  1.42937127e-12  1.71524552e-03 -9.04866510e-06  1.84568637e-06  5.94379728e-06  1.25798144e-06 -1.20000003e-09 -9.50900570e-18  1.52690596e-18  6.68227991e-18  1.29816459e-18 -1.65524555e-21 
 1.48262741e-12  1.48262741e-12  1.77915289e-03 -9.08617636e-06  1.85616694e-06  5.96534548e-06  1.26346395e-06 -1.19999999e-09 -9.99190155e-18  1.62547918e-18  6.99939741e-18  1.36530581e-18 -1.71915292e-21 
 1.53803976e-12  1.53803976e-12  1.84564772e-03 -9.12046437e-06  1.86547787e-06  5.98532455e-06  1.26846194e-06 -1.20000000e-09 -1.04963380e-17  1.72859173e-18  7.33050479e-18  1.43545580e-18 -1.78564775e-21 
 1.59579638e-12  1.59579638e-12  1.91495566e-03 -9.15169697e-06  1.87366762e-06  6.00382924e-06  1.27300011e-06 -1.20000007e-09 -1.10240071e-17  1.83657193e-18  7.67673129e-18  1.50884893e-18 -1.85495569e-21 
 1.65608467e-12  1.65608467e-12  1.98730160e-03 -9.18002777e-06  1.88077977e-06  6.02094699e-06  1.27710101e-06 -1.20000001e-09 -1.15766012e-17  1.94974652e-18  8.03920784e-18  1.58571954e-18 -1.92730163e-21 
 1.71913732e-12  1.71913732e-12  2.06296478e-03 -9.20561967e-06  1.88685917e-06  6.03677200e-06  1.28078850e-06 -1.20000000e-09 -1.21562331e-17  2.06852633e-18  8.41934342e-18  1.66636040e-18 -2.00296481e-21 
 1.78519977e-12  1.78519977e-12  2.14223973e-03 -9.22862677e-06  1.89194710e-06  6.05139456e-06  1.28408511e-06 -1.20000002e-09 -1.27651389e-17  2.19334495e-18  8.81863041e-18  1.75108132e-18 -2.08223976e-21 
 1.85456831e-12  1.85456831e-12  2.22548198e-03 -9.24920799e-06  1.89608432e-06  6.06490971e-06  1.28701396e-06 -1.20000002e-09 -1.34060291e-17  2.32473005e-18  9.23887557e-18  1.84025801e-18 -2.16548201e-21 
 1.92736521e-12  1.92736521e-12  2.31283826e-03 -9.26746953e-06  1.89930073e-06  6.07737810e-06  1.28959070e-06 -1.20000003e-09 -1.40800075e-17  2.46287618e-18  9.68083603e-18  1.93404243e-18 -2.25283829e-21 
 2.00388866e-12  2.00388866e-12  2.40466639e-03 -9.28357233e-06  1.90163743e-06  6.08889615e-06  1.29183875e-06 -1.19999998e-09 -1.47898023e-17  2.60830663e-18  1.01463387e-17  2.03281237e-18 -2.34466643e-21 
 2.08447293e-12  2.08447293e-12  2.50136751e-03 -9.29767743e-06  1.90313395e-06  6.09956197e-06  1.29378150e-06 -1.20000001e-09 -1.55384805e-17  2.76160898e-18  1.06374376e-17  2.13699252e-18 -2.44136755e-21 
 2.16953898e-12  2.16953898e-12  2.60344677e-03 -9.30995134e-06  1.90382798e-06  6.10948039e-06  1.29544298e-06 -1.19999995e-09 -1.63299192e-17  2.92353059e-18  1.11567251e-17  2.24712008e-18 -2.54344681e-21 
 2.25955396e-12  2.25955396e-12  2.71146475e-03 -9.32055491e-06  1.90375315e-06  6.11875548e-06  1.29684627e-06 -1.19999997e-09 -1.71684316e-17  3.09490026e-18  1.17070873e-17  2.36379251e-18 -2.65146478e-21 
 2.35506872e-12  2.35506872e-12  2.82608246e-03 -9.32964707e-06  1.90293881e-06  6.12749424e-06  1.29801402e-06 -1.20000000e-09 -1.80591163e-17  3.27669789e-18  1.22919361e-17  2.48771624e-18 -2.76608249e-21 
 2.45670397e-12  2.45670397e-12  2.94804477e-03 -9.33738149e-06  1.90140927e-06  6.13580426e-06  1.29896796e-06 -1.20000000e-09 -1.90077305e-17  3.47002584e-18  1.29151279e-17  2.61968870e-18 -2.88804480e-21 
 2.56518887e-12  2.56518887e-12  3.07822665e-03 -9.34390872e-06  1.89918297e-06  6.14379662e-06  1.29972913e-06 -1.20000001e-09 -2.00210494e-17  3.67617927e-18  1.35812035e-17  2.76064840e-18 -3.01822668e-21 
 2.68135887e-12  2.68135887e-12  3.21763065e-03 -9.34937429e-06  1.89627171e-06  6.15158494e-06  1.30031765e-06 -1.20000000e-09 -2.11068487e-17  3.89663826e-18  1.42953807e-17  2.91167211e-18 -3.15763068e-21 
 2.80619374e-12  2.80619374e-12  3.36743249e-03 -9.35391951e-06  1.89267924e-06  6.15928758e-06  1.30075270e-06 -1.19999999e-09 -2.22742604e-17  4.13313485e-18  1.50637938e-17  3.07402425e-18 -3.30743252e-21 
 2.94082152e-12  2.94082152e-12  3.52898582e-03 -9.35768017e-06  1.88840044e-06  6.16702735e-06  1.30105238e-06 -1.20000004e-09 -2.35338109e-17  4.38765403e-18  1.58935260e-17  3.24916187e-18 -3.46898585e-21 
 3.08655076e-12  3.08655076e-12  3.70386092e-03 -9.36078653e-06  1.88341973e-06  6.17493317e-06  1.30123363e-06 -1.20000000e-09 -2.48977249e-17  4.66248629e-18  1.67928183e-17  3.43877646e-18 -3.64386095e-21 
 3.23674569e-12  3.23674569e-12  3.88409482e-03 -9.36324227e-06  1.87800821e-06  6.18272423e-06  1.30130983e-06 -1.20000001e-09 -2.63038519e-17  4.94495997e-18  1.77208470e-17  3.63422086e-18 -3.82409486e-21 
 3.39610357e-12  3.39610357e-12  4.07532428e-03 -9.36527538e-06  1.87204325e-06  6.19072622e-06  1.30130591e-06 -1.20000000e-09 -2.77961204e-17  5.24376010e-18  1.87067505e-17  3.84159453e-18 -4.01532432e-21 
 3.55986255e-12  3.55986255e-12  4.27183506e-03 -9.36694633e-06  1.86573950e-06  6.19876678e-06  1.30124005e-06 -1.19999999e-09 -2.93299052e-17  5.54980785e-18  1.97211958e-17  4.05468967e-18 -4.21183510e-21 
 3.72761160e-12  3.72761160e-12  4.47313392e-03 -9.36836400e-06  1.85914787e-06  6.20688687e-06  1.30112926e-06 -1.19999999e-09 -3.09013204e-17  5.86223100e-18  2.07617141e-17  4.27296215e-18 -4.41313395e-21 
 3.89747615e-12  3.89747615e-12  4.67697138e-03 -9.36959956e-06  1.85236903e-06  6.21504279e-06  1.30098774e-06 -1.20000000e-09 -3.24927783e-17  6.17745859e-18  2.18167369e-17  4.49396588e-18 -4.61697142e-21 
 4.07051564e-12  4.07051564e-12  4.88461877e-03 -9.37072366e-06  1.84537986e-06  6.22331983e-06  1.30082397e-06 -1.20000003e-09 -3.41141863e-17  6.49738687e-18  2.28929008e-17  4.71907396e-18 -4.82461881e-21 
 4.24590031e-12  4.24590031e-12  5.09508037e-03 -9.37177377e-06  1.83822618e-06  6.23170248e-06  1.30064511e-06 -1.20000002e-09 -3.57577597e-17  6.82041089e-18  2.39851108e-17  4.94720286e-18 -5.03508042e-21 
 4.42460192e-12  4.42460192e-12  5.30952230e-03 -9.37278495e-06  1.83087598e-06  6.24025443e-06  1.30045454e-06 -1.19999999e-09 -3.74326010e-17  7.14824811e-18  2.50994902e-17  5.17961320e-18 -5.24952234e-21 
 4.60604363e-12  4.60604363e-12  5.52725235e-03 -9.37377331e-06  1.82335713e-06  6.24896041e-06  1.30025577e-06 -1.20000001e-09 -3.91333048e-17  7.47976327e-18  2.62325224e-17  5.41555186e-18 -5.46725240e-21 
 4.79094037e-12  4.79094037e-12  5.74912844e-03 -9.37475567e-06  1.81564186e-06  6.25786386e-06  1.30004995e-06 -1.20000000e-09 -4.08665758e-17  7.81618279e-18  2.73887580e-17  5.65594589e-18 -5.68912849e-21 
 4.97887696e-12  4.97887696e-12  5.97465235e-03 -9.37573825e-06  1.80774766e-06  6.26695178e-06  1.29983881e-06 -1.20000002e-09 -4.26285277e-17  8.15666653e-18  2.85656935e-17  5.90025300e-18 -5.91465239e-21 
 5.17040529e-12  5.17040529e-12  6.20448635e-03 -9.37672944e-06  1.79965045e-06  6.27625643e-06  1.29962257e-06 -1.20000000e-09 -4.44243421e-17  8.50212600e-18  2.97668834e-17  6.14918825e-18 -6.14448639e-21 
 5.36525791e-12  5.36525791e-12  6.43830949e-03 -9.37773139e-06  1.79135974e-06  6.28576957e-06  1.29940208e-06 -1.20000000e-09 -4.62515201e-17  8.85198488e-18  3.09907553e-17  6.40240164e-18 -6.37830954e-21 
 5.56388692e-12  5.56388692e-12  6.67666430e-03 -9.37874864e-06  1.78285394e-06  6.29551752e-06  1.29917718e-06 -1.20000000e-09 -4.81143106e-17  9.20695613e-18  3.22402595e-17  6.66047824e-18 -6.61666435e-21 
 5.76614524e-12  5.76614524e-12  6.91937429e-03 -9.37978185e-06  1.77413650e-06  6.30549709e-06  1.29894826e-06 -1.20000002e-09 -5.00113451e-17  9.56667160e-18  3.35145896e-17  6.92322450e-18 -6.85937434e-21 
 5.97241953e-12  5.97241953e-12  7.16690344e-03 -9.38083386e-06  1.76518752e-06  6.31573130e-06  1.29871505e-06 -1.19999999e-09 -5.19462614e-17  9.93170737e-18  3.48163070e-17  7.19114007e-18 -7.10690349e-21 
 6.18265795e-12  6.18265795e-12  7.41918954e-03 -9.38190492e-06  1.75600567e-06  6.32622156e-06  1.29847769e-06 -1.20000001e-09 -5.39185857e-17  1.03018524e-17  3.61452191e-17  7.46415492e-18 -7.35918959e-21 
 6.39720643e-12  6.39720643e-12  7.67664772e-03 -9.38299710e-06  1.74657192e-06  6.33698929e-06  1.29823589e-06 -1.20000000e-09 -5.59315763e-17  1.06775888e-17  3.75036555e-17  7.74271540e-18 -7.61664777e-21 
 6.61609175e-12  6.61609175e-12  7.93931010e-03 -9.38411070e-06  1.73688088e-06  6.34804017e-06  1.29798965e-06 -1.20000001e-09 -5.79854984e-17  1.10588271e-17  3.88919388e-17  8.02685322e-18 -7.87931015e-21 
 6.83964001e-12  6.83964001e-12  8.20756801e-03 -9.38524748e-06  1.72691353e-06  6.35939529e-06  1.29773866e-06 -1.19999999e-09 -6.00834271e-17  1.14459897e-17  4.03123014e-17  8.31698849e-18 -8.14756806e-21 
 7.06794752e-12  7.06794752e-12  8.48153702e-03 -9.38640795e-06  1.71666066e-06  6.37106445e-06  1.29748285e-06 -1.20000001e-09 -6.22262821e-17  1.18390866e-17  4.17655311e-17  8.61324278e-18 -8.42153708e-21 
 7.30133941e-12  7.30133941e-12  8.76160730e-03 -9.38759379e-06  1.70610236e-06  6.38306955e-06  1.29722188e-06 -1.20000001e-09 -6.44171320e-17  1.22385092e-17  4.32538869e-17  8.91603430e-18 -8.70160736e-21 
 7.53997890e-12  7.53997890e-12  9.04797468e-03 -9.38880581e-06  1.69522551e-06  6.39542468e-06  1.29695562e-06 -1.20000000e-09 -6.66575272e-17  1.26443548e-17  4.47786135e-17  9.22557090e-18 -8.98797474e-21 
 7.78420869e-12  7.78420869e-12  9.34105043e-03 -9.39004573e-06  1.68400831e-06  6.40815371e-06  1.29668371e-06 -1.20000000e-09 -6.89507046e-17  1.30570096e-17  4.63421212e-17  9.54229289e-18 -9.28105049e-21 
 8.03426271e-12  8.03426271e-12  9.64111525e-03 -9.39131469e-06  1.67243328e-06  6.42127549e-06  1.29640593e-06 -1.20000001e-09 -7.12988820e-17  1.34766554e-17  4.79461463e-17  9.86649913e-18 -9.58111531e-21 
 8.29052197e-12  8.29052197e-12  9.94862637e-03 -9.39261461e-06  1.66047547e-06  6.43481724e-06  1.29612190e-06 -1.20000001e-09 -7.37056599e-17  1.39036998e-17  4.95933928e-17  1.01986788e-17 -9.88862643e-21 
 8.55330276e-12  8.55330276e-12  1.02639633e-02 -9.39394703e-06  1.64811215e-06  6.44880358e-06  1.29583130e-06 -1.20000000e-09 -7.61740337e-17  1.43384164e-17  5.12861768e-17  1.05392365e-17 -1.02039634e-20 
 8.82305078e-12  8.82305078e-12  1.05876609e-02 -9.39531418e-06  1.63531362e-06  6.46326685e-06  1.29553370e-06 -1.20000000e-09 -7.87082167e-17  1.47812652e-17  5.30276795e-17  1.08887443e-17 -1.05276610e-20 
 9.10018751e-12  9.10018751e-12  1.09202250e-02 -9.39671812e-06  1.62205027e-06  6.47823918e-06  1.29522868e-06 -1.20000001e-09 -8.13121978e-17  1.52326328e-17  5.48209628e-17  1.12477420e-17 -1.08602251e-20 
 9.38526127e-12  9.38526127e-12  1.12623135e-02 -9.39816160e-06  1.60828524e-06  6.49376067e-06  1.29491568e-06 -1.20000000e-09 -8.39911614e-17  1.56930747e-17  5.66699512e-17  1.16169331e-17 -1.12023136e-20 
 9.67875771e-12  9.67875771e-12  1.16145092e-02 -9.39964698e-06  1.59398334e-06  6.50986941e-06  1.29459423e-06 -1.19999999e-09 -8.67497063e-17  1.61630020e-17  5.85782108e-17  1.19969391e-17 -1.15545093e-20 
 9.98120358e-12  9.98120358e-12  1.19774443e-02 -9.40117688e-06  1.57910595e-06  6.52660711e-06  1.29426382e-06 -1.19999999e-09 -8.95928221e-17  1.66428458e-17  6.05496250e-17  1.23884338e-17 -1.19174444e-20 
 1.02934243e-11  1.02934243e-11  1.23521092e-02 -9.40275538e-06  1.56359798e-06  6.54403379e-06  1.29392361e-06 -1.19999999e-09 -9.25283107e-17  1.71334545e-17  6.25900874e-17  1.27924767e-17 -1.22921092e-20 
 1.06162404e-11  1.06162404e-11  1.27394885e-02 -9.40438655e-06  1.54740225e-06  6.56221150e-06  1.29357279e-06 -1.20000001e-09 -9.55639352e-17  1.76355950e-17  6.47055412e-17  1.32101195e-17 -1.26794886e-20 
 1.09508037e-11  1.09508037e-11  1.31409645e-02 -9.40607609e-06  1.53044226e-06  6.58122364e-06  1.29321019e-06 -1.20000000e-09 -9.87105805e-17  1.81504619e-17  6.69041968e-17  1.36428408e-17 -1.30809646e-20 
