 time            time            v(in_inv)       v(out_inv)      i(Vdd_inv)     
 8.55330276e-12  8.55330276e-12  1.02639633e-01  1.20302753e+00  3.53296977e-04 
 8.82305078e-12  8.82305078e-12  1.05876609e-01  1.20303451e+00  3.54488142e-04 
 9.10018751e-12  9.10018751e-12  1.09202250e-01  1.20303870e+00  3.55438877e-04 
 9.38526127e-12  9.38526127e-12  1.12623135e-01  1.20303988e+00  3.56136646e-04 
 9.67875771e-12  9.67875771e-12  1.16145092e-01  1.20303778e+00  3.56565719e-04 
 9.98120358e-12  9.98120358e-12  1.19774443e-01  1.20303205e+00  3.56707161e-04 
 1.02934243e-11  1.02934243e-11  1.23521092e-01  1.20302231e+00  3.56537948e-04 
 1.06162404e-11  1.06162404e-11  1.27394885e-01  1.20300806e+00  3.56029528e-04 
 1.09508037e-11  1.09508037e-11  1.31409645e-01  1.20298869e+00  3.55146051e-04 
 1.12983832e-11  1.12983832e-11  1.35580599e-01  1.20296344e+00  3.53842480e-04 
 1.16236153e-11  1.16236153e-11  1.39483383e-01  1.20293490e+00  3.52262847e-04 
 1.19277147e-11  1.19277147e-11  1.43132576e-01  1.20290372e+00  3.50465961e-04 
 1.22181355e-11  1.22181355e-11  1.46617626e-01  1.20286973e+00  3.48455541e-04 
 1.25008966e-11  1.25008966e-11  1.50010760e-01  1.20283250e+00  3.46215479e-04 
 1.28029058e-11  1.28029058e-11  1.53634870e-01  1.20278800e+00  3.43506734e-04 
 1.30798855e-11  1.30798855e-11  1.56958626e-01  1.20274271e+00  3.40726903e-04 
 1.33647805e-11  1.33647805e-11  1.60377365e-01  1.20269142e+00  3.37562945e-04 
 1.36293813e-11  1.36293813e-11  1.63552576e-01  1.20263931e+00  3.34338439e-04 
 1.38976201e-11  1.38976201e-11  1.66771441e-01  1.20258187e+00  3.30778694e-04 
 1.41521380e-11  1.41521380e-11  1.69825656e-01  1.20252288e+00  3.27120814e-04 
 1.44084535e-11  1.44084535e-11  1.72901442e-01  1.20245884e+00  3.23151455e-04 
 1.46551935e-11  1.46551935e-11  1.75862321e-01  1.20239260e+00  3.19050002e-04 
 1.49023912e-11  1.49023912e-11  1.78828695e-01  1.20232152e+00  3.14655219e-04 
 1.51425625e-11  1.51425625e-11  1.81710750e-01  1.20224775e+00  3.10101754e-04 
 1.53823662e-11  1.53823662e-11  1.84588395e-01  1.20216924e+00  3.05266498e-04 
 1.56169021e-11  1.56169021e-11  1.87402826e-01  1.20208757e+00  3.00248639e-04 
 1.58506672e-11  1.58506672e-11  1.90208007e-01  1.20200117e+00  2.94953237e-04 
 1.60804420e-11  1.60804420e-11  1.92965304e-01  1.20191119e+00  2.89452463e-04 
 1.63092983e-11  1.63092983e-11  1.95711579e-01  1.20181638e+00  2.83672478e-04 
 1.65351143e-11  1.65351143e-11  1.98421372e-01  1.20171755e+00  2.77665025e-04 
 1.67600164e-11  1.67600164e-11  2.01120197e-01  1.20161373e+00  2.71371870e-04 
 1.69819218e-11  1.69819218e-11  2.03783061e-01  1.20150582e+00  2.64849881e-04 
 1.71983186e-11  1.71983186e-11  2.06379823e-01  1.20139516e+00  2.58181637e-04 
 1.74108592e-11  1.74108592e-11  2.08930310e-01  1.20128109e+00  2.51327391e-04 
 1.76183355e-11  1.76183355e-11  2.11420026e-01  1.20116442e+00  2.44336961e-04 
